,PREMIUM_CHARGED,NO_CLAIM_DISCOUNT,SPECIAL_DISCOUNT,SUM_INSURED,LOADINGS,FLAG_POLICY_TYPE_OF_COVER_CHANGE_IN_LAST_12_MONTHS,POLICY_HISTORY_AGE,POLICY_TERM,COMPANY_LOADINGS,type_of_cover,transaction_type,client_gender,open_restricted_flag,pa_driver_included,vehicle_condition,flag_vehicle_condition,flag_vehicle_type_on_seating_capacity
6615,5396.188443,0.25,0.32,54367.55,0.1,0,1,12,0.35,0,5,1,1,0,0,0,0
26262,6757.559583,0.22,0.42,74565.405,0.08,0,2,12,0.38,0,5,0,0,0,1,1,0
23429,8212.959998,0.29,0.3,80992.44,0.1,0,2,12,0.38,0,5,1,1,1,1,0,1
10330,11332.91311,0.28,0.3,96944.65,0.14,0,1,12,0.35,0,5,1,0,0,0,1,0
41404,2391.603027,0.23,0.31,102225.51,0.12,0,2,12,0.38,2,5,0,0,0,1,1,0
11007,7429.827014,0.32,0.21,70214.0,0.09,0,0,12,0.3,0,5,0,0,1,1,1,1
32416,13420.77926,0.19,0.3,98200.17,0.13,0,2,12,0.38,0,5,1,0,0,1,1,0
19105,5615.49222,0.22,0.3,129718.0,0.11,0,0,12,0.3,1,5,0,0,0,1,0,0
27623,2495.76244,0.16,0.31,106019.145,0.08,0,2,12,0.38,2,5,1,0,0,1,0,0
33388,1628.397489,0.3,0.34,86781.645,0.08,0,2,12,0.38,2,5,1,0,0,2,1,0
17175,4779.580605,0.29,0.37,51313.3,0.07,0,1,12,0.35,0,5,0,0,0,1,1,0
14145,8114.140651000001,0.25,0.33,118720.17,0.13,0,2,12,0.38,1,5,0,0,0,1,1,0
6072,2191.13207,0.28,0.29,130189.9,0.07,0,1,12,0.35,2,5,0,1,0,1,1,0
32235,2045.5821019999998,0.17,0.29,108577.0,0.09,0,0,12,0.3,2,5,0,0,0,1,1,0
52313,11878.72729,0.19,0.31,101348.0,0.11,0,0,12,0.3,0,5,0,0,0,1,1,0
8301,11251.8273,0.31,0.26,110037.0,0.06,0,0,12,0.3,0,5,0,0,0,2,1,1
23279,9907.46661,0.2,0.34,93033.5,0.14,0,1,12,0.35,0,5,1,0,0,0,1,1
13862,1194.239939,0.3,0.29,63319.59,0.11,0,2,12,0.38,2,5,1,0,0,1,1,0
18704,9621.45994,0.23,0.31,75801.735,0.12,0,2,12,0.38,0,5,1,1,0,1,1,0
28890,1901.838961,0.27,0.28,94608.6,0.13,0,1,12,0.35,2,5,1,0,0,1,1,2
41738,14936.20467,0.26,0.21,120441.95,0.09,0,1,12,0.35,0,5,0,0,0,1,0,2
37000,1365.699375,0.2,0.34,76420.85,0.1,0,1,12,0.35,2,5,1,0,0,2,1,0
52473,10369.98875,0.31,0.26,90744.95,0.1,0,1,12,0.35,0,5,0,0,0,0,1,0
32286,9910.766109,0.4,0.25,112844.0,0.08,0,0,12,0.3,0,5,1,0,0,1,1,0
1405,2968.345532,0.2,0.34,118355.085,0.17,0,2,12,0.38,2,5,1,0,0,1,1,1
46653,12037.43425,0.28,0.36,126852.0,0.09,0,0,12,0.3,0,5,1,0,0,1,1,1
32658,1558.832432,0.22,0.15,71414.35,0.07,0,1,12,0.35,2,5,0,0,0,1,1,0
58601,11392.71543,0.24,0.24,101349.8,0.1,0,1,12,0.35,0,5,1,0,1,1,1,2
27925,2034.550146,0.26,0.36,112413.5,0.08,0,1,12,0.35,2,5,1,0,0,1,1,0
16741,1738.163346,0.3,0.26,76889.295,0.11,1,2,12,0.38,2,5,0,0,1,1,1,0
31211,1751.167252,0.31,0.32,85521.375,0.11,0,2,12,0.38,2,5,1,0,0,1,1,0
10268,2486.1974920000002,0.16,0.32,114696.54,0.11,0,2,12,0.38,2,5,0,0,0,2,1,0
46279,15071.68205,0.13,0.36,118785.15,0.12,0,1,12,0.35,0,5,1,0,0,0,1,1
16594,8166.093462999999,0.21,0.37,74669.05,0.08,0,1,12,0.35,0,5,1,0,0,1,1,0
46429,10437.566490000001,0.19,0.35,100947.0,0.11,0,1,12,0.35,0,5,0,0,0,1,1,0
48333,1783.2723239999998,0.23,0.25,85265.35,0.07,0,1,12,0.35,2,5,0,0,0,1,0,0
11089,12623.216620000001,0.21,0.28,111997.4,0.12,0,1,12,0.35,0,5,0,0,1,2,1,0
42308,13183.18471,0.26,0.36,155447.0,0.09,0,0,12,0.3,0,5,1,1,0,1,1,2
19523,1910.459425,0.21,0.39,115039.3,0.12,0,1,12,0.35,2,5,0,0,1,1,1,1
56961,14534.86177,0.16,0.24,110583.135,0.11,0,2,12,0.38,0,5,0,0,0,1,1,2
28910,7081.568887,0.29,0.2,140536.0,0.08,0,0,12,0.3,1,5,0,0,0,1,0,2
14385,10166.93547,0.23,0.33,81760.23,0.13,0,2,12,0.38,0,5,1,0,0,1,1,0
58930,1461.056066,0.28,0.24,71716.45,0.1,0,1,12,0.35,2,5,1,0,0,2,1,0
21254,10650.60079,0.27,0.39,117225.63,0.1,0,2,12,0.38,0,5,1,0,0,1,1,0
12832,3966.400842,0.26,0.32,93155.1,0.1,0,1,12,0.35,1,5,1,0,0,1,1,0
40538,13860.52899,0.05,0.4,107370.045,0.11,0,2,12,0.38,0,5,1,0,0,1,1,0
20284,8567.509764,0.26,0.23,65878.605,0.07,0,2,12,0.38,0,5,0,0,0,1,1,0
31380,6434.982121,0.16,0.31,55967.0,0.05,0,0,12,0.3,0,5,1,0,0,1,0,0
46395,4237.792936,0.28,0.29,95052.0,0.11,0,0,12,0.3,1,5,1,0,1,2,1,0
14939,7528.364947,0.24,0.33,77375.6,0.08,0,1,12,0.35,0,5,0,0,0,1,1,1
55430,1896.6978589999999,0.27,0.37,118749.0,0.06,0,0,12,0.3,2,5,1,0,0,2,0,1
16013,13638.26506,0.3,0.34,150317.55,0.11,0,1,12,0.35,0,5,0,1,0,1,1,1
20536,1656.60905,0.22,0.28,82213.0,0.11,0,0,12,0.3,2,5,1,1,1,2,1,2
26665,4144.745796,0.24,0.27,79540.65,0.11,0,1,12,0.35,1,5,1,0,0,2,0,2
11532,10792.61939,0.28,0.17,76969.665,0.1,0,2,12,0.38,0,5,1,0,0,1,1,0
32520,1768.603851,0.36,0.19,88455.45,0.09,0,1,12,0.35,2,5,1,0,0,1,1,2
6582,766.4725068,0.3,0.4,55486.0,0.13,0,0,12,0.3,2,5,0,0,1,1,1,1
32312,2836.108978,0.2,0.31,119890.665,0.09,0,2,12,0.38,2,5,1,0,0,1,0,0
25099,2181.338689,0.21,0.35,108154.65,0.11,0,1,12,0.35,2,5,0,0,0,1,1,0
33086,1579.966226,0.31,0.26,97490.0,0.08,0,0,12,0.3,2,5,1,0,0,1,1,0
32296,2382.991546,0.24,0.25,48963.0,0.11,0,1,12,0.35,1,5,1,0,0,1,1,2
44015,1858.993805,0.2,0.34,100710.0,0.07,0,0,12,0.3,2,5,0,0,0,2,1,2
4745,14412.0676,0.2,0.23,92952.18,0.18,0,2,12,0.38,0,5,1,0,0,1,1,0
19762,1468.652641,0.2,0.28,73333.35,0.13,0,1,12,0.35,2,5,1,0,0,2,1,0
23789,9224.966433,0.29,0.28,83786.0,0.14,0,0,12,0.3,0,5,1,0,0,1,1,2
45445,1016.8001199999999,0.19,0.32,55552.2,0.08,0,1,12,0.35,2,5,1,0,0,1,1,2
3776,3814.140748,0.27,0.21,73867.0,0.09,0,0,12,0.3,1,5,0,0,0,0,1,2
17628,1625.190987,0.24,0.3,89444.4,0.11,0,1,12,0.35,2,5,0,0,0,1,1,0
12246,1829.17228,0.34,0.22,103105.4,0.12,0,1,12,0.35,2,5,1,0,0,1,1,0
16334,8181.59982,0.2,0.26,60111.25,0.13,0,1,12,0.35,0,5,1,0,0,1,1,0
20697,34992.793710000005,0.19,0.21,123562.7,0.1,0,0,6,0.35,0,5,1,0,0,0,1,1
2333,1729.755591,0.27,0.27,96005.0,0.07,0,0,12,0.3,2,5,1,0,0,1,1,0
31429,8024.5933939999995,0.28,0.16,63303.345,0.13,0,2,12,0.38,0,5,1,0,0,1,1,1
53150,5612.633172999999,0.26,0.24,107516.0,0.13,0,0,12,0.3,1,5,1,0,1,2,1,1
36785,2499.680231,0.31,0.24,140835.6,0.1,0,1,12,0.35,2,5,0,0,1,1,1,1
38445,6374.1410829999995,0.25,0.34,152183.35,0.1,0,1,12,0.35,1,5,1,0,1,1,1,0
20332,2035.971759,0.3,0.3,94359.51,0.12,0,2,12,0.38,2,5,1,0,0,2,0,2
30269,15072.41462,0.32,0.23,135699.9,0.09,0,1,12,0.35,0,5,1,0,0,1,1,0
10322,2698.484143,0.2,0.3,111421.035,0.1,0,2,12,0.38,2,5,1,0,0,1,0,0
565,6570.091477,0.38,0.31,125645.0,0.11,0,0,12,0.3,0,4,1,0,1,1,1,2
49462,2138.762301,0.22,0.31,91059.21,0.11,0,2,12,0.38,2,5,0,0,0,1,1,0
22709,1833.210288,0.3,0.35,106170.48,0.11,0,2,12,0.38,2,5,0,1,0,1,1,0
17089,4118.977333,0.22,0.33,106068.45,0.12,1,1,12,0.35,1,4,1,0,0,0,1,2
33225,15201.60099,0.28,0.4,154420.6,0.12,0,1,12,0.35,0,5,0,0,1,0,1,1
28654,18828.79364,0.25,0.26,144588.195,0.1,0,2,12,0.38,0,5,0,0,1,2,1,0
7842,1752.768976,0.23,0.31,81225.855,0.08,0,2,12,0.38,2,5,0,0,0,2,1,2
18434,2150.097977,0.26,0.3,101259.36,0.09,0,2,12,0.38,2,5,0,0,0,1,1,0
33860,15324.5561,0.22,0.37,156880.0,0.1,0,0,12,0.3,0,5,0,0,0,1,1,2
16566,1525.89785,0.29,0.35,104171.0,0.08,0,0,12,0.3,2,5,1,0,0,1,1,0
46716,2251.6432600000003,0.19,0.26,100897.6,0.1,0,1,12,0.35,2,5,0,0,1,1,1,2
45400,10834.05631,0.29,0.26,87091.155,0.11,0,2,12,0.38,0,5,0,0,0,1,1,0
6331,1809.025057,0.2,0.39,93538.9,0.12,0,1,12,0.35,2,5,1,0,0,2,1,0
52637,1323.218453,0.24,0.23,58092.5,0.1,0,1,12,0.35,2,5,1,0,0,0,0,0
26729,2646.6279280000003,0.27,0.21,125454.15,0.07,0,2,12,0.38,2,5,1,0,1,2,1,2
8612,12495.83772,0.22,0.3,109132.0,0.11,0,0,12,0.3,0,5,1,0,0,1,1,0
11511,1775.729391,0.17,0.4,82448.505,0.1,0,2,12,0.38,2,5,1,0,1,2,1,0
43469,1536.449162,0.22,0.31,79565.0,0.11,0,0,12,0.3,2,5,1,1,1,1,1,2
44557,13966.78189,0.36,0.31,157671.0,0.11,0,0,12,0.3,0,5,1,0,0,0,1,0
26233,1386.087551,0.26,0.39,86133.0,0.1,0,0,12,0.3,2,5,0,0,1,1,0,0
21180,314.27682039999996,0.34,0.39,3478.14,0.1,0,2,12,0.38,0,5,1,0,0,1,0,0
49551,1538.328102,0.2,0.25,68864.55,0.1,0,1,12,0.35,2,5,0,0,1,1,1,0
52746,7847.421840000001,0.34,0.4,88295.85,0.1,0,2,12,0.38,0,5,1,0,0,1,1,1
53393,6382.968021,0.29,0.39,89756.19,0.08,0,2,12,0.38,1,5,1,0,0,1,1,1
42052,1731.6588960000001,0.32,0.2,37863.0,0.07,0,0,12,0.3,1,5,1,0,0,2,0,2
44567,5449.625806,0.25,0.33,51124.25,0.09,0,1,12,0.35,0,5,1,0,0,1,1,0
47731,4252.534318,0.32,0.17,89045.4,0.1,0,1,12,0.35,1,5,0,0,0,2,1,0
49942,12163.71239,0.14,0.29,100373.58,0.07,0,2,12,0.38,0,5,1,0,0,0,1,0
32671,16823.163090000002,0.21,0.21,112831.785,0.12,0,2,12,0.38,0,5,0,0,0,1,0,1
6374,2716.863308,0.21,0.31,113188.32,0.12,0,2,12,0.38,2,5,0,0,0,1,1,2
6998,14214.710809999999,0.26,0.24,129502.0,0.08,0,0,12,0.3,0,5,0,0,0,0,1,0
39884,1040.3161519999999,0.05,0.32,59498.595,0.09,0,2,12,0.38,2,5,0,0,0,2,1,2
14069,9588.498324,0.11,0.37,85252.0,0.11,0,0,12,0.3,0,5,0,0,0,2,1,1
9342,11222.03435,0.18,0.36,101056.0,0.12,0,0,12,0.3,0,5,1,0,0,1,1,2
26068,1410.130575,0.3,0.33,93375.0,0.1,0,0,12,0.3,2,5,0,1,0,1,1,2
10493,6176.074224,0.38,0.36,75598.245,0.11,0,2,12,0.38,0,5,1,0,1,1,1,0
827,5920.227582,0.05,0.31,85795.45,0.19,0,1,12,0.35,1,5,0,0,0,2,1,0
27540,11607.24343,0.27,0.28,105306.0,0.11,0,0,12,0.3,0,5,1,0,0,1,1,0
7479,1471.27049,0.2,0.33,84641.0,0.11,0,0,12,0.3,2,5,1,0,0,1,1,2
8265,2580.3338949999998,0.2,0.17,89045.685,0.11,0,2,12,0.38,2,5,0,0,0,2,1,0
55098,2465.866403,0.22,0.28,112806.8,0.1,0,1,12,0.35,2,5,1,0,0,2,1,0
51920,7242.326576,0.29,0.37,78641.19,0.11,0,2,12,0.38,0,5,0,0,0,2,0,0
4462,7787.872737000001,0.08,0.27,66589.0,0.06,0,0,12,0.3,0,5,1,0,0,1,1,0
11581,13622.962430000001,0.21,0.32,141615.0,0.09,0,0,12,0.3,0,5,0,0,1,1,1,2
54210,11171.50584,0.25,0.31,103875.0,0.1,0,0,12,0.3,0,5,0,0,0,1,1,0
22883,1619.04057,0.28,0.28,72877.635,0.09,0,2,12,0.38,2,5,1,0,1,1,1,0
58698,1917.901825,0.33,0.25,116045.0,0.13,0,0,12,0.3,2,2,0,0,1,1,1,2
29484,2030.856411,0.22,0.34,105959.2,0.1,0,1,12,0.35,2,5,0,0,0,2,1,1
30541,8153.428715000001,0.31,0.21,121095.36,0.1,0,2,12,0.38,1,5,0,0,0,1,1,0
50872,1168.6815689999999,0.26,0.46,70176.69,0.06,0,2,12,0.38,2,5,0,0,0,1,1,2
16626,1175.014085,0.28,0.36,70616.0,0.12,0,0,12,0.3,2,5,1,0,0,1,0,2
17256,7145.178281,0.22,0.33,61650.25,0.09,0,1,12,0.35,0,5,0,0,0,1,1,2
19088,3412.6903,0.23,0.39,34033.0,0.13,0,0,12,0.3,0,5,1,0,1,1,1,0
32831,9393.656906,0.22,0.29,94723.0,0.09,0,0,12,0.3,0,5,0,0,0,1,1,1
7849,11956.763579999999,0.27,0.28,108477.0,0.11,0,0,12,0.3,0,5,0,0,0,1,0,0
7083,3833.0260359999997,0.15,0.33,80272.15,0.09,0,1,12,0.35,1,5,0,0,0,1,1,0
56663,878.1643277000001,0.27,0.32,56143.0,0.07,0,0,12,0.3,2,2,1,0,1,1,1,1
25725,7261.032157,0.21,0.3,88486.515,0.12,0,2,12,0.38,1,5,1,0,1,1,1,0
10913,12482.18523,0.26,0.17,86613.21,0.1,0,2,12,0.38,0,5,1,1,1,2,1,2
56073,1597.9219,0.25,0.42,85717.17,0.09,0,2,12,0.38,2,5,0,0,0,1,1,2
55707,7742.698403,0.26,0.3,75193.0,0.1,0,0,12,0.3,0,5,0,0,0,0,0,1
58307,1436.334841,0.2,0.29,68487.21,0.08,0,2,12,0.38,2,5,1,0,0,1,0,0
18536,1251.526625,0.23,0.29,60324.525,0.11,0,2,12,0.38,2,5,0,0,0,2,1,1
37678,14916.203480000002,0.2,0.37,142409.0,0.1,0,0,12,0.3,0,5,1,0,0,2,1,1
22555,2843.24649,0.23,0.2,120780.15,0.08,0,1,12,0.35,2,5,0,0,0,2,1,0
50144,8242.737068,0.3,0.35,99343.0,0.11,0,0,12,0.3,0,5,1,0,1,1,1,0
22193,5251.614097,0.28,0.23,81481.5,0.11,0,2,12,0.38,1,5,1,1,0,1,1,0
601,3243.682452,0.2,0.34,41897.565,0.2,0,2,12,0.38,1,5,0,0,0,1,1,0
48732,1986.092378,0.3,0.25,106805.0,0.09,0,0,12,0.3,2,5,1,0,1,2,0,1
54304,9266.674418,0.25,0.26,72477.495,0.08,0,2,12,0.38,0,5,1,0,0,1,0,2
12707,7638.376629,0.24,0.35,68894.19,0.1,0,2,12,0.38,0,5,1,0,0,1,1,1
57144,1698.3303050000002,0.35,0.24,85436.73,0.07,0,2,12,0.38,2,5,0,0,0,1,1,0
43035,1712.263925,0.19,0.35,98880.0,0.13,0,0,12,0.3,2,5,1,0,0,1,1,0
9590,9759.829386,0.18,0.27,83539.0,0.08,0,0,12,0.3,0,5,0,0,1,1,1,0
56522,6553.311178,0.28,0.26,57613.0,0.13,0,0,12,0.3,0,2,1,0,1,1,1,0
28682,817.1659489,0.33,0.3,48874.0,0.1,0,0,6,0.3,2,5,0,0,0,1,1,2
17788,1742.8174390000001,0.2,0.23,88497.0,0.09,0,0,12,0.3,2,5,1,0,0,2,0,2
14520,5848.117851,0.29,0.35,56109.85,0.11,0,1,12,0.35,0,5,1,0,1,1,1,0
48154,9275.327016,0.29,0.31,90282.0,0.11,0,0,12,0.3,0,5,0,0,0,2,1,0
37195,11081.32847,0.05,0.25,65687.085,0.11,0,2,12,0.38,0,5,0,0,1,1,1,0
31995,11984.98995,0.2,0.3,93769.56,0.07,0,2,12,0.38,0,5,1,0,0,1,1,2
16608,5676.25403,0.24,0.26,114832.0,0.07,0,0,12,0.3,1,5,1,0,0,1,1,2
48979,10499.43365,0.27,0.2,101328.0,0.08,0,0,12,0.3,0,5,0,1,0,1,1,0
47348,3407.196021,0.19,0.22,129189.645,0.11,0,2,12,0.38,2,5,0,0,1,1,1,0
32351,6505.9097520000005,0.26,0.29,61247.07,0.09,0,2,12,0.38,0,5,1,1,0,0,1,0
9577,9980.016811,0.21,0.38,98965.395,0.11,0,2,12,0.38,0,5,1,0,0,1,1,0
51419,13322.47225,0.22,0.28,105994.35,0.1,0,1,12,0.35,0,5,0,0,0,2,1,1
49428,14312.278719999998,0.2,0.21,117430.45,0.09,0,1,12,0.35,0,5,0,0,0,1,1,0
23489,10696.27681,0.22,0.35,107104.0,0.09,0,0,12,0.3,0,5,0,0,0,1,1,0
19591,10365.4862,0.2,0.32,87523.5,0.07,0,1,12,0.35,0,5,1,0,1,1,1,0
21787,7174.582477,0.22,0.41,75017.0,0.1,0,0,12,0.3,0,5,0,0,0,1,1,0
44996,6508.47094,0.16,0.21,76647.33,0.09,0,2,12,0.38,1,5,1,0,0,1,1,1
23795,1718.4829559999998,0.19,0.27,89617.0,0.11,0,0,12,0.3,2,5,1,0,0,2,1,1
1228,5802.175861,0.2,0.33,42645.69,0.19,0,2,12,0.38,0,5,1,0,0,1,1,0
53134,11809.98621,0.24,0.35,101888.64,0.1,0,2,12,0.38,0,5,1,0,1,1,1,0
8252,4682.033047999999,0.18,0.23,87635.6,0.1,0,1,12,0.35,1,5,0,0,0,1,1,0
28199,2925.164461,0.16,0.28,151285.0,0.09,0,0,12,0.3,2,5,1,0,0,1,1,2
53266,15387.867709999999,0.22,0.25,111095.28,0.11,0,2,12,0.38,0,5,0,1,0,2,0,1
56882,2038.198546,0.25,0.2,92078.75,0.09,0,1,12,0.35,2,5,0,0,0,1,1,0
21012,9435.34261,0.28,0.28,80365.725,0.11,0,2,12,0.38,0,5,1,0,1,1,1,1
21171,5312.777886999999,0.27,0.38,82793.07,0.09,0,2,12,0.38,1,5,1,1,0,2,1,0
49945,1170.177624,0.22,0.23,44246.25,0.12,0,2,12,0.38,2,5,1,0,0,2,1,0
49405,6304.592843,0.3,0.32,54949.995,0.13,0,2,12,0.38,0,5,0,0,0,1,1,1
47371,3104.955365,0.32,0.45,36760.25,0.11,0,1,12,0.35,0,5,0,0,0,1,1,0
21733,3510.886376,0.31,0.37,89385.0,0.1,0,0,12,0.3,1,5,0,0,0,1,1,0
27585,13019.864529999999,0.2,0.35,119394.0,0.11,0,0,12,0.3,0,5,1,0,0,2,1,1
4700,1639.040575,0.2,0.38,63244.35,0.17,0,2,12,0.38,2,5,1,0,1,1,1,0
39758,1602.710622,0.05,0.29,74104.56,0.1,0,2,12,0.38,2,5,1,0,0,1,1,0
44102,4246.896433,0.22,0.32,91808.0,0.11,0,0,12,0.3,1,5,0,1,0,2,1,2
53900,1803.7101739999998,0.33,0.34,106649.85,0.13,0,1,12,0.35,2,5,1,0,0,1,1,2
33960,10758.49438,0.27,0.26,92192.75,0.11,0,1,12,0.35,0,5,1,0,0,1,1,0
32660,1960.276589,0.24,0.22,91576.0,0.12,0,0,12,0.3,2,5,1,1,0,1,1,2
57781,2037.5798,0.26,0.29,108784.0,0.1,0,0,12,0.3,2,2,0,0,0,1,1,1
53033,3080.1179899999997,0.24,0.22,145747.0,0.1,0,0,12,0.3,2,5,1,0,1,1,0,0
36951,2913.095323,0.05,0.28,34884.0,0.09,0,2,12,0.38,1,5,1,1,1,1,1,0
25505,13869.5591,0.2,0.27,108079.6,0.08,0,1,12,0.35,0,5,1,0,1,1,1,0
22751,9092.265319,0.23,0.32,121009.005,0.1,0,2,12,0.38,1,5,0,0,0,1,1,2
36938,8929.342312,0.22,0.32,74543.65,0.11,0,1,12,0.35,0,5,0,0,0,1,1,2
50599,6827.007622,0.3,0.37,78591.0,0.09,0,0,12,0.3,0,5,0,0,0,1,1,1
52461,1876.8992719999999,0.29,0.26,105545.95,0.1,0,1,12,0.35,2,5,1,0,0,0,1,0
19018,9979.717217,0.19,0.23,68193.945,0.1,0,2,12,0.38,0,5,0,0,0,2,1,0
23804,7024.64405,0.34,0.23,160262.0,0.05,0,0,12,0.3,1,5,1,0,0,2,1,0
13607,17660.43808,0.21,0.33,165051.0,0.07,0,0,12,0.3,0,5,1,0,1,1,1,2
34470,9386.318689,0.23,0.27,81839.0,0.08,0,0,12,0.3,0,5,1,0,1,2,1,2
2177,1742.048345,0.05,0.43,86409.15,0.21,0,1,12,0.35,2,5,0,0,0,2,1,0
40853,13148.90257,0.31,0.27,112276.035,0.09,0,2,12,0.38,0,5,0,0,0,1,0,0
53013,1606.524975,0.28,0.38,91627.5,0.11,0,1,12,0.35,2,5,1,0,0,1,0,0
44564,1408.208653,0.31,0.31,87389.55,0.1,0,1,12,0.35,2,5,1,0,1,1,0,0
