HAS_CLAIMED_IN_NEXT_12_MONTHS,PREMIUM_CHARGED,NO_CLAIM_DISCOUNT,SPECIAL_DISCOUNT,SUM_INSURED,LOADINGS,FLAG_POLICY_TYPE_OF_COVER_CHANGE_IN_LAST_12_MONTHS,POLICY_HISTORY_AGE,POLICY_TERM,COMPANY_LOADINGS,type_of_cover,transaction_type,client_gender,open_restricted_flag,pa_driver_included,vehicle_condition,flag_vehicle_condition,flag_vehicle_type_on_seating_capacity
0,18957.18855,0.05,0.28,115439.25,0.18,0,1,12,0.35,0,5,0,1,0,2,0,0
1,7258.53818,0.32,0.27,83211.0,0.12,0,0,12,0.3,0,0,0,1,1,1,1,0
0,11833.00713,0.05,0.27,79050.45,0.22,0,1,12,0.35,0,5,0,1,1,1,1,0
1,5196.944511,0.29,0.33,103993.0,0.11,0,0,12,0.3,0,4,1,0,0,1,1,0
1,6364.460223,0.29,0.28,59141.0,0.09,0,0,12,0.3,0,1,1,0,0,1,1,0
0,9304.598893,0.05,0.28,56183.95,0.19,0,1,12,0.35,0,5,1,0,0,1,1,0
1,3416.45763,0.22,0.34,47924.0,0.12,0,0,12,0.3,0,6,0,1,0,1,1,0
0,7085.758727,0.05,0.34,45527.8,0.22,0,1,12,0.35,0,5,0,1,0,1,1,0
1,10881.72338,0.3,0.26,107220.0,0.08,0,0,12,0.3,0,1,0,0,1,2,1,1
1,6791.571406,0.19,0.27,84677.0,0.08,0,0,12,0.3,0,4,1,0,0,1,0,1
0,11646.67683,0.05,0.27,80443.15,0.18,0,1,12,0.35,0,5,1,0,0,1,0,1
0,9254.065799,0.2,0.27,72398.835,0.18,0,2,12,0.38,0,5,1,0,0,1,0,1
1,13176.26442,0.05,0.27,44625.3,0.22,0,0,6,0.35,0,5,0,0,0,1,0,2
1,4632.817438,0.31,0.29,86575.0,0.12,0,0,12,0.3,0,6,0,0,0,2,1,0
0,13770.19893,0.05,0.29,82246.25,0.22,0,1,12,0.35,0,5,0,0,0,2,1,0
1,6685.888711,0.23,0.35,88801.0,0.1,0,0,12,0.3,0,6,1,1,1,2,0,2
1,8080.410317,0.3,0.27,114190.0,0.12,0,0,12,0.3,0,6,0,0,1,1,0,0
1,10864.39743,0.25,0.35,115390.0,0.05,0,0,12,0.3,0,0,1,1,0,1,1,0
0,15838.3124,0.05,0.35,109620.5,0.15,0,1,12,0.35,0,5,1,1,0,1,1,0
1,10905.92437,0.19,0.27,99334.0,0.11,0,0,12,0.3,0,0,1,0,0,1,1,2
0,15410.98983,0.05,0.27,94367.3,0.21,0,1,12,0.35,0,5,1,0,0,1,1,2
0,12245.06493,0.2,0.27,84930.57,0.21,0,2,12,0.38,0,5,1,0,0,1,1,2
1,7858.73016,0.28,0.33,98375.0,0.08,0,0,12,0.3,0,4,1,0,1,1,1,2
0,14281.41009,0.05,0.33,93456.25,0.18,0,1,12,0.35,0,5,1,0,1,1,1,2
0,11347.53807,0.2,0.33,84110.625,0.18,0,2,12,0.38,0,5,1,0,1,1,1,2
1,9029.472304,0.3,0.32,94197.0,0.09,0,0,12,0.3,0,1,1,0,1,2,1,0
0,13388.04998,0.05,0.32,89487.15,0.19,0,1,12,0.35,0,5,1,0,1,2,1,0
0,10637.70355,0.2,0.32,80538.435,0.19,0,2,12,0.38,0,5,1,0,1,2,1,0
1,6018.379093,0.29,0.37,96589.0,0.1,0,0,12,0.3,0,4,0,0,1,1,1,1
1,4855.019484,0.35,0.32,117073.0,0.11,0,0,12,0.3,0,6,1,0,1,1,1,0
0,17688.07475,0.05,0.32,111219.35,0.21,0,1,12,0.35,0,5,1,0,1,1,1,0
0,14054.3616,0.2,0.32,100097.415,0.21,0,2,12,0.38,0,5,1,0,1,1,1,0
1,5541.342686,0.2,0.25,46828.0,0.08,0,0,12,0.3,0,1,1,0,0,2,1,0
1,6882.10962,0.28,0.31,68849.0,0.08,0,0,12,0.3,0,0,0,0,0,1,1,0
0,10293.38625,0.05,0.31,65406.55,0.18,0,1,12,0.35,0,5,0,0,0,1,1,0
0,8178.785676,0.2,0.31,58865.895,0.18,0,2,12,0.38,0,5,0,0,0,1,1,0
1,5788.247434,0.27,0.14,79708.0,0.07,0,0,12,0.3,0,6,1,0,0,1,0,0
0,12806.13039,0.05,0.14,75722.6,0.17,0,1,12,0.35,0,5,1,0,0,1,0,0
0,10175.32941,0.2,0.14,68150.34,0.17,0,2,12,0.38,0,5,1,0,0,1,1,0
1,7430.944105,0.29,0.27,76725.0,0.1,0,0,12,0.3,0,1,1,0,0,1,1,0
1,18741.05138,0.19,0.24,156461.0,0.1,0,0,12,0.3,0,0,0,0,0,2,1,0
0,26201.76062,0.05,0.24,148637.95,0.2,0,1,12,0.35,0,5,0,0,0,2,1,0
0,20819.05598,0.2,0.24,133774.155,0.2,0,2,12,0.38,0,5,0,0,0,2,1,0
1,15164.06115,0.23,0.29,119527.0,0.12,0,0,12,0.3,0,1,0,0,0,2,1,0
0,19011.38397,0.05,0.29,113550.65,0.22,0,1,12,0.35,0,5,0,0,0,2,1,0
0,15105.81952,0.2,0.29,102195.585,0.22,0,2,12,0.38,0,5,0,0,0,2,1,0
1,5165.7333,0.3,0.2,75775.0,0.1,0,0,12,0.3,0,6,0,0,0,1,0,0
0,13357.54705,0.05,0.2,71986.25,0.2,0,1,12,0.35,0,5,0,0,0,1,1,0
0,10613.46693,0.2,0.2,64787.625,0.2,0,2,12,0.38,0,5,0,0,0,1,1,0
1,8717.061415,0.27,0.25,117159.0,0.14,0,0,12,0.3,0,6,0,0,1,1,1,0
1,7294.304183,0.28,0.29,112102.0,0.08,0,0,12,0.3,0,4,1,1,0,1,0,0
0,14996.34459,0.05,0.29,106496.9,0.18,0,1,12,0.35,0,5,1,1,0,1,0,0
1,8601.635846,0.21,0.31,104734.0,0.13,0,0,12,0.3,0,4,1,0,0,0,1,0
1,8414.285589,0.27,0.36,137808.0,0.11,0,0,12,0.3,0,4,0,1,0,1,0,0
0,19596.08474,0.05,0.36,130917.6,0.21,0,1,12,0.35,0,5,0,1,0,1,1,0
0,15570.40349,0.2,0.36,117825.84,0.21,0,2,12,0.38,0,5,0,1,0,1,1,0
1,10396.36017,0.25,0.35,112963.0,0.11,0,0,12,0.3,0,0,0,0,0,1,1,0
0,16314.15105,0.05,0.35,107314.85,0.21,0,1,12,0.35,0,5,0,0,0,1,1,0
1,6046.239443,0.24,0.25,85644.0,0.12,0,0,12,0.3,0,6,0,0,0,1,1,0
1,3873.201089,0.22,0.28,63139.0,0.12,0,0,12,0.3,0,6,0,0,0,2,1,2
0,10184.02744,0.05,0.28,59982.05,0.22,0,1,12,0.35,0,5,0,0,0,2,1,2
0,8091.892774,0.2,0.28,53983.845,0.22,0,2,12,0.38,0,5,0,0,0,2,1,2
1,8201.295058,0.2,0.29,79231.0,0.1,0,0,12,0.3,0,0,0,0,0,1,1,2
1,11970.49703,0.21,0.3,98181.0,0.12,0,0,12,0.3,0,1,1,0,0,1,1,1
0,15396.24653,0.05,0.3,93271.95,0.22,0,1,12,0.35,0,5,1,0,0,1,1,1
0,12233.35038,0.2,0.3,83944.755,0.22,0,2,12,0.38,0,5,1,0,0,1,1,1
1,13563.75078,0.28,0.29,155894.0,0.11,0,0,12,0.3,0,4,1,0,0,2,1,1
1,9633.661005,0.33,0.24,103778.0,0.08,0,0,12,0.3,0,1,0,0,0,1,1,0
0,14860.47155,0.05,0.24,98589.1,0.18,0,1,12,0.35,0,5,0,0,0,1,1,0
1,7711.511677,0.36,0.23,93628.0,0.09,0,0,12,0.3,0,4,1,0,1,1,1,0
1,11295.92954,0.2,0.35,120277.0,0.1,0,0,6,0.3,0,0,1,0,1,1,1,1
1,9858.29184,0.32,0.25,134236.0,0.08,0,0,12,0.3,0,4,1,0,0,1,1,1
0,18968.97951,0.05,0.25,127524.2,0.18,0,1,12,0.35,0,5,1,0,0,1,1,1
0,15072.12633,0.2,0.25,114771.78,0.18,0,2,12,0.38,0,5,1,0,0,1,1,1
1,15301.72137,0.31,0.25,157516.0,0.14,0,0,12,0.3,0,0,1,0,0,1,1,2
0,25729.53887,0.05,0.25,149640.2,0.24,0,1,12,0.35,0,5,1,0,0,1,1,2
1,14999.25228,0.29,0.29,138905.0,0.09,0,0,12,0.3,0,1,0,0,0,0,1,0
1,4969.241379,0.2,0.31,67338.0,0.08,0,0,12,0.3,0,6,0,0,0,1,1,0
0,10067.48163,0.05,0.31,63971.1,0.18,0,1,12,0.35,0,5,0,0,0,1,1,0
1,7354.026142,0.28,0.18,109767.0,0.09,0,0,12,0.3,0,4,1,0,1,0,1,1
0,18812.95376,0.05,0.18,104278.65,0.19,0,1,12,0.35,0,5,1,0,1,0,1,1
0,14948.15341,0.2,0.18,93850.785,0.19,0,2,12,0.38,0,5,1,0,1,0,1,1
1,5724.78415,0.26,0.27,96739.0,0.07,0,0,12,0.3,0,4,0,0,0,1,1,0
1,8818.72992,0.35,0.37,126063.0,0.1,0,0,12,0.3,0,0,0,0,0,1,1,2
0,15217.42352,0.05,0.37,119759.85,0.2,0,1,12,0.35,0,5,0,0,0,1,1,2
1,11283.7909,0.25,0.34,99366.0,0.11,0,0,12,0.3,0,1,0,0,1,1,1,0
1,7209.944409,0.27,0.29,108285.0,0.09,0,0,12,0.3,0,4,1,0,1,2,0,0
0,14608.48925,0.05,0.29,102870.75,0.19,0,1,12,0.35,0,5,1,0,1,2,0,0
0,11607.42439,0.2,0.29,92583.675,0.19,0,2,12,0.38,0,5,1,0,1,2,1,0
1,8361.873132,0.35,0.37,107598.0,0.11,0,0,12,0.3,0,1,1,1,0,1,1,0
1,10659.89429,0.27,0.27,101919.0,0.13,0,0,12,0.3,0,0,0,0,0,1,1,1
1,13107.87281,0.25,0.28,112874.0,0.13,0,0,12,0.3,0,1,1,0,0,2,1,1
1,3432.409346,0.33,0.2,47949.0,0.12,0,0,12,0.3,0,6,1,0,0,2,1,0
0,7472.416421,0.05,0.2,45551.55,0.22,0,1,12,0.35,0,5,1,0,0,2,1,0
0,5937.335967,0.2,0.2,40996.395,0.22,0,2,12,0.38,0,5,1,0,0,2,1,0
1,8136.560713,0.25,0.33,113153.0,0.13,0,0,12,0.3,0,4,1,0,0,1,1,0
1,4724.503002,0.3,0.28,125075.0,0.09,0,0,12,0.3,0,6,1,0,1,1,1,2
0,18822.37184,0.05,0.28,118821.25,0.19,0,1,12,0.35,0,5,1,0,1,1,1,2
0,14955.63671,0.2,0.28,106939.125,0.19,0,2,12,0.38,0,5,1,0,1,1,1,2
1,12021.7881,0.19,0.28,100777.0,0.05,0,0,12,0.3,0,1,0,1,0,1,1,0
0,14656.02314,0.05,0.28,95738.15,0.15,0,1,12,0.35,0,5,0,1,0,1,1,0
0,11645.19326,0.2,0.28,86164.335,0.15,0,2,12,0.38,0,5,0,1,0,1,1,0
1,3612.683243,0.26,0.25,82046.0,0.11,0,0,12,0.3,0,6,0,0,0,1,1,2
0,13672.04821,0.05,0.25,77943.7,0.21,0,1,12,0.35,0,5,0,0,0,1,1,2
0,10863.35919,0.2,0.25,70149.33,0.21,0,2,12,0.38,0,5,0,0,0,1,1,2
1,10292.89523,0.25,0.29,103231.0,0.1,0,0,12,0.3,0,1,1,0,0,0,1,0
1,3738.400242,0.31,0.35,81153.0,0.06,0,0,12,0.3,0,6,0,1,1,1,1,2
1,15798.03954,0.26,0.22,142731.0,0.13,0,0,12,0.3,0,1,1,0,0,1,1,2
1,7396.14603,0.26,0.37,105462.0,0.1,0,0,12,0.3,0,6,1,0,0,1,1,2
1,10333.0565,0.25,0.25,102963.0,0.1,0,0,12,0.3,0,0,0,1,0,1,0,0
1,5058.926926,0.23,0.37,80197.0,0.09,0,0,12,0.3,0,6,1,1,0,1,1,0
0,9600.134722,0.05,0.37,76187.15,0.19,0,1,12,0.35,0,5,1,1,0,1,1,0
1,4035.377508,0.3,0.38,50204.0,0.09,0,0,12,0.3,0,1,0,0,0,1,1,2
0,5914.372394,0.05,0.38,47693.8,0.19,0,1,12,0.35,0,5,0,0,0,1,1,2
0,4699.365502,0.2,0.38,42924.42,0.19,0,2,12,0.38,0,5,0,0,0,1,1,2
1,11922.36424,0.21,0.3,98007.0,0.13,0,0,6,0.3,0,1,0,0,0,1,1,1
0,15494.93582,0.05,0.3,93106.65,0.23,0,0,6,0.35,0,5,0,0,0,1,1,1
1,8156.011052,0.26,0.28,72801.0,0.09,0,0,12,0.3,0,1,1,0,0,1,0,0
0,11453.71407,0.05,0.28,69160.95,0.19,0,1,12,0.35,0,5,1,0,0,1,0,0
0,9100.743949,0.2,0.28,62244.855,0.19,0,2,12,0.38,0,5,1,0,0,1,0,0
1,9775.63465,0.29,0.35,92777.0,0.12,0,0,12,0.3,0,1,1,0,0,1,1,0
1,5401.442318,0.21,0.36,66041.0,0.12,0,0,12,0.3,0,4,0,0,1,0,1,2
0,9468.539169,0.05,0.36,62738.95,0.22,0,1,12,0.35,0,5,0,0,1,0,1,2
1,5002.282772,0.27,0.26,57759.0,0.11,0,0,12,0.3,0,4,1,0,1,1,1,0
0,9496.559426,0.05,0.26,54871.05,0.21,0,1,12,0.35,0,5,1,0,1,1,1,0
0,7545.65333,0.2,0.26,49383.945,0.21,0,2,12,0.38,0,5,1,0,1,1,1,0
1,6063.091982,0.28,0.36,68120.0,0.11,0,0,12,0.3,0,1,1,0,0,1,1,0
1,8651.513512,0.26,0.25,98115.0,0.1,0,0,12,0.3,0,4,0,0,0,1,1,0
0,16214.64528,0.05,0.25,93209.25,0.2,0,1,12,0.35,0,5,0,0,0,1,1,0
1,6955.304453,0.32,0.25,101482.0,0.07,0,0,12,0.3,0,4,0,0,0,1,1,0
1,3980.177264,0.28,0.4,113740.0,0.09,0,0,12,0.3,0,6,0,0,0,1,1,0
0,12967.10806,0.05,0.4,108053.0,0.19,0,1,12,0.35,0,5,0,0,0,1,1,0
0,10303.23696,0.2,0.4,97247.7,0.19,0,2,12,0.38,0,5,0,0,0,1,1,0
1,7031.32012,0.32,0.32,72248.0,0.11,0,0,12,0.3,0,1,1,1,0,1,1,0
0,10441.0576,0.05,0.32,68635.6,0.21,0,1,12,0.35,0,5,1,1,0,1,1,0
0,8296.120472,0.2,0.32,61772.04,0.21,0,2,12,0.38,0,5,1,1,0,1,1,0
1,12481.19253,0.26,0.36,128283.0,0.08,0,0,12,0.3,0,1,1,0,0,1,1,2
0,17789.37228,0.05,0.36,121868.85,0.18,0,1,12,0.35,0,5,1,0,0,1,1,2
0,14134.84928,0.2,0.36,109681.965,0.18,0,2,12,0.38,0,5,1,0,0,1,1,2
1,9258.109398,0.27,0.38,103298.0,0.11,0,0,12,0.3,0,0,1,0,1,1,1,1
1,8650.56036,0.22,0.3,85896.0,0.06,0,0,12,0.3,0,1,1,0,1,0,1,2
0,11136.80624,0.05,0.3,81601.2,0.16,0,1,12,0.35,0,5,1,0,1,0,1,2
0,8848.93942,0.2,0.3,73441.08,0.16,0,2,12,0.38,0,5,1,0,1,0,1,2
1,16934.86272,0.2,0.22,141097.0,0.1,0,0,12,0.3,0,0,0,0,0,1,0,2
1,17564.59959,0.22,0.27,146058.0,0.1,0,0,12,0.3,0,1,0,0,0,2,1,0
1,9110.708646,0.32,0.27,147061.0,0.06,0,0,12,0.3,0,4,1,0,0,1,1,1
0,22866.93192,0.05,0.27,139707.95,0.16,0,1,12,0.35,0,5,1,0,0,1,1,1
1,10733.71942,0.29,0.29,116869.0,0.11,0,0,12,0.3,0,0,0,1,0,1,0,0
0,18436.2497,0.05,0.29,111025.55,0.21,0,1,12,0.35,0,5,0,1,0,1,0,0
0,14648.83678,0.2,0.29,99922.995,0.21,0,2,12,0.38,0,5,0,1,0,1,0,0
1,4783.725107,0.24,0.35,72435.0,0.08,0,0,12,0.3,0,6,0,0,1,1,1,0
1,4457.007321,0.3,0.29,111675.0,0.08,0,0,12,0.3,0,6,1,0,0,2,1,0
0,14939.22305,0.05,0.29,106091.25,0.18,0,1,12,0.35,0,5,1,0,0,2,1,0
0,11870.21458,0.2,0.29,95482.125,0.18,0,2,12,0.38,0,5,1,0,0,2,1,0
1,6663.723581,0.25,0.28,103165.0,0.08,0,0,12,0.3,0,6,1,0,1,1,1,0
0,16094.46041,0.05,0.28,98006.75,0.18,0,1,12,0.35,0,5,1,0,1,1,1,0
0,12788.12813,0.2,0.28,88206.075,0.18,0,2,12,0.38,0,5,1,0,1,1,1,0
1,5540.845978,0.2,0.44,81493.0,0.11,0,0,12,0.3,0,6,1,0,1,1,1,2
1,5589.059599,0.23,0.23,71414.0,0.12,0,0,12,0.3,0,4,0,0,1,1,1,0
1,16866.18093,0.25,0.23,143088.0,0.12,0,0,6,0.3,0,0,1,0,0,1,0,0
0,24682.16799,0.05,0.23,135933.6,0.22,0,0,6,0.35,0,5,1,0,0,1,0,0
1,8792.846318,0.19,0.34,100515.0,0.13,0,0,12,0.3,0,0,1,0,0,1,1,2
0,13029.01603,0.05,0.34,95489.25,0.23,0,1,12,0.35,0,5,1,0,0,1,1,2
0,10352.42699,0.2,0.34,85940.325,0.23,0,2,12,0.38,0,5,1,0,0,1,1,2
1,7867.605021,0.28,0.29,112109.0,0.11,0,0,12,0.3,0,6,0,0,0,1,1,0
1,8891.043315,0.24,0.36,89880.0,0.09,0,0,12,0.3,0,1,0,0,0,1,1,0
0,12023.0424,0.05,0.36,85386.0,0.19,0,1,12,0.35,0,5,0,0,0,1,1,0
0,9553.113484,0.2,0.36,76847.4,0.19,0,2,12,0.38,0,5,0,0,0,1,1,0
1,4484.566944,0.22,0.28,61040.0,0.11,0,0,12,0.3,0,4,1,0,0,0,1,2
1,8472.416239,0.28,0.33,75472.0,0.13,0,0,12,0.3,0,1,1,1,0,1,0,0
0,11420.76795,0.05,0.33,71698.4,0.23,0,1,12,0.35,0,5,1,1,0,1,1,0
0,9074.566049,0.2,0.33,64528.56,0.23,0,2,12,0.38,0,5,1,1,0,1,1,0
1,6264.330441,0.24,0.27,61325.0,0.06,0,0,12,0.3,0,0,1,0,1,1,1,0
1,4545.346424,0.31,0.34,60384.0,0.06,0,0,12,0.3,0,0,0,0,0,1,1,0
0,7381.684813,0.05,0.34,57364.8,0.16,0,1,12,0.35,0,5,0,0,0,1,1,0
0,5865.243621,0.2,0.34,51628.32,0.16,0,2,12,0.38,0,5,0,0,0,1,1,0
1,9441.262962,0.3,0.28,96063.0,0.08,0,0,12,0.3,0,0,0,0,1,2,1,0
0,14986.49882,0.05,0.28,91259.85,0.18,0,1,12,0.35,0,5,0,0,1,2,1,0
1,12024.69829,0.26,0.35,118861.0,0.09,0,0,12,0.3,0,1,1,0,0,2,1,1
1,10112.76922,0.34,0.31,97372.0,0.12,0,0,12,0.3,0,1,0,0,0,2,1,0
1,6783.482254,0.27,0.16,85071.0,0.09,0,0,12,0.3,0,6,1,0,0,1,1,0
0,13578.11491,0.05,0.16,80817.45,0.19,0,1,12,0.35,0,5,1,0,0,1,1,0
0,10788.72288,0.2,0.16,72735.705,0.19,0,2,12,0.38,0,5,1,0,0,1,1,0
1,18688.6945,0.3,0.24,174557.0,0.11,0,0,12,0.3,0,1,0,0,0,2,1,1
0,28194.25422,0.05,0.24,165829.15,0.21,0,1,12,0.35,0,5,0,0,0,2,1,1
0,22402.22577,0.2,0.24,149246.235,0.21,0,2,12,0.38,0,5,0,0,0,2,1,1
1,12930.09618,0.27,0.19,111188.0,0.11,0,0,12,0.3,0,0,1,0,0,1,1,1
1,10136.74471,0.25,0.24,97592.0,0.09,0,0,12,0.3,0,1,1,0,1,1,1,0
0,14093.09782,0.05,0.24,92712.4,0.19,0,1,12,0.35,0,5,1,0,1,1,1,0
0,11197.91134,0.2,0.24,83441.16,0.19,0,2,12,0.38,0,5,1,0,1,1,1,0
1,9040.936371,0.26,0.32,83268.0,0.13,0,0,12,0.3,0,1,1,0,0,1,1,0
1,10849.00387,0.22,0.33,151220.0,0.11,0,0,12,0.3,0,6,0,0,0,1,1,0
0,22511.21529,0.05,0.33,143659.0,0.21,0,1,12,0.35,0,5,0,0,0,1,1,0
1,4689.016497,0.18,0.28,42676.0,0.07,0,0,12,0.3,0,1,1,0,0,1,1,0
1,5510.621548,0.22,0.4,78274.0,0.1,0,0,12,0.3,0,6,0,0,0,1,1,0
0,10348.55135,0.05,0.4,74360.3,0.2,0,1,12,0.35,0,5,0,0,0,1,1,0
1,8783.846691,0.26,0.16,130469.0,0.11,0,0,12,0.3,0,6,1,0,1,1,1,0
1,5756.86487,0.25,0.27,126522.0,0.12,0,0,12,0.3,0,6,0,0,0,1,0,0
0,17992.04106,0.05,0.27,120195.9,0.22,0,1,12,0.35,0,5,0,0,0,1,1,0
0,14295.88322,0.2,0.27,108176.31,0.22,0,2,12,0.38,0,5,0,0,0,1,1,0
1,14043.12308,0.28,0.33,136852.0,0.14,0,0,12,0.3,0,1,1,0,0,0,1,1
0,19969.72186,0.05,0.33,130009.4,0.24,0,1,12,0.35,0,5,1,0,0,0,1,1
0,15867.28324,0.2,0.33,117008.46,0.24,0,2,12,0.38,0,5,1,0,0,0,1,1
1,4395.021993,0.29,0.36,89301.0,0.11,0,0,12,0.3,0,6,0,0,0,2,1,0
0,12698.46426,0.05,0.36,84835.95,0.21,0,1,12,0.35,0,5,0,0,0,2,1,0
0,10089.78145,0.2,0.36,76352.355,0.21,0,2,12,0.38,0,5,0,0,0,2,1,0
1,6132.315637,0.24,0.35,116596.0,0.09,0,0,12,0.3,0,6,1,0,0,2,1,0
0,16560.50226,0.05,0.35,110766.2,0.19,0,1,12,0.35,0,5,1,0,0,2,1,0
0,13158.42964,0.2,0.35,99689.58,0.19,0,2,12,0.38,0,5,1,0,0,2,1,0
1,6919.334727,0.3,0.31,118672.0,0.14,0,0,12,0.3,0,6,1,0,1,1,1,2
1,15713.05266,0.22,0.31,145272.0,0.14,0,0,12,0.3,0,1,1,0,0,0,1,1
1,6750.32322,0.22,0.32,101221.0,0.06,0,0,12,0.3,0,6,1,0,1,2,1,2
0,14023.67715,0.05,0.32,96159.95,0.16,0,1,12,0.35,0,5,1,0,1,2,1,2
0,11142.75196,0.2,0.32,86543.955,0.16,0,2,12,0.38,0,5,1,0,1,2,1,2
1,5250.818925,0.23,0.26,54963.0,0.08,0,0,12,0.3,0,0,1,0,0,2,1,0
1,5743.114827,0.27,0.37,105222.0,0.12,0,0,12,0.3,0,6,1,0,1,1,1,1
1,4782.261277,0.25,0.31,97679.0,0.12,0,0,12,0.3,0,6,1,0,0,2,1,0
0,15098.70364,0.05,0.31,92795.05,0.22,0,1,12,0.35,0,5,1,0,0,2,1,0
1,10870.56261,0.26,0.41,123671.0,0.1,0,0,6,0.3,0,0,1,0,0,2,1,0
